"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"ST002044","parent",14,2,0.008,1,0.992,-7.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",40.677908511,346.123443603516,"[M+H]+","NHF45_POS.mzML"
"ST002044","parent",27,2,0.072,1,0.984,-9.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",511.23038387202,346.121917724609,"[M+H]+","D_177.mzML"
"ST002044","parent",34,2,0.071,1,0.975,-12.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",507.57724505598,346.122100830078,"[M+H]+","NHF_5.mzML"
"ST002044","parent",17,3,0.083,1,0.952,-65.1,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",509.517683937,344.107360839844,"[M-H]-","D_125NEG.mzML"
"ST002044","parent",8,3,0.066,1,0.984,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",38.60936999898,346.122924804688,"[M+H]+","D41_POS.mzML"
"ST002044","parent",9,3,0.004,1,0.984,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",39.64272924702,346.122894287109,"[M+H]+","D55_POS.mzML"
"ST002044","parent",10,3,0.009,1,0.984,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",39.58310633502,346.122985839844,"[M+H]+","D82_POS.mzML"
"ST002044","metabolite",1,1,0.878,3,0.924,-27.6,"[M + H]+",NA,TRUE,"standard",481.12697996802,362.117156982422,"[M+H]+","D_41.mzML"
"ST002044","metabolite",3,1,0.64,3,0.924,-27.4,"[M + H]+",NA,TRUE,"standard",482.49899911998,362.117248535156,"[M+H]+","D_82.mzML"
"ST002044","metabolite",4,1,0.948,3,0.932,-26.9,"[M + H]+",NA,TRUE,"standard",480.335824911,362.116943359375,"[M+H]+","NHF_24.mzML"
"ST002044","metabolite",5,1,0.971,3,0.909,-32.4,"[M + H]+",NA,TRUE,"standard",482.75402454198,362.117095947266,"[M+H]+","NHF_45.mzML"
"ST002722","parent",3,1,0.878,1,0.984,-11.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",243.282,346.12197873,"[M+H]+","CIR59.mzXML"
"ST002722","parent",4,1,0.981,1,0.976,-8.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",326.524,346.12316603,"[M+H]+","CIR60.mzXML"
"ST002722","parent",2,2,0.269,1,0.976,-8.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",326.779,346.12317219,"[M+H]+","CIR55_hilic_pos.mzXML"
"ST002722","metabolite",1,1,0.647,3,0.888,-44.2,"[M + H]+",NA,TRUE,"standard",339.855,362.11726968,"[M+H]+","CIR59.mzXML"
"ST002722","metabolite",2,3,0.038,3,0.881,-49.3,"[M + H]+",NA,TRUE,"standard",337.435,362.11495224,"[M+H]+","CIR60.mzXML"
