"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file"
"MTBLS1866","parent",18,2,0.291,1,0.93,-26.4,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",20,2,0.083,1,0.885,-33.7,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",23,2,0.129,1,0.87,-40.8,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","parent",1,3,0.131,1,0.914,-24.7,"[M + Na]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",2,1,0.921,3,0.89,-34.4,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",3,1,0.592,3,0.904,-33,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"MTBLS1866","metabolite",1,2,0.301,3,0.904,-35,"[M + H]+",NA,TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",2,1,0.73,1,0.984,-7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",6,1,0.258,1,0.976,-11.7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",19,1,0.656,1,0.984,-7.4,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",22,1,0.798,1,0.975,-14.7,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",23,1,0.738,1,0.984,-7.2,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",11,1,0.553,1,0.967,-20.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",26,1,0.874,1,0.984,-5.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",28,1,0.904,1,0.976,-6.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",29,1,0.676,1,0.984,-5.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",30,1,0.559,1,0.984,-10.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",31,1,0.653,1,0.992,-4.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",32,1,0.934,1,0.992,-5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",33,1,0.87,1,0.984,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",NA,NA,NA,NA
"ST002044","parent",3,2,0.31,1,0.976,-19.5,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",4,2,0.347,1,0.984,-7.1,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",5,2,0.257,1,0.984,-7.1,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",24,2,0.202,1,0.984,-6.9,"[M - H]-","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",12,2,0.049,1,0.952,-24.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",13,2,0.167,1,0.992,-5.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
"ST002044","parent",14,2,0.008,1,0.992,-7.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"standard",NA,NA,NA,NA
