"dataset_id","role","xcms_fts","formula_rank","formula_score","structure_rank","tanimoto","csi_score","adduct","structure_name","target_present","confidence","rt","mz","adduct_inferred","file","source_file","chrom_type","assay","mz_theo","mz_ppm_dev"
"MSV000094097","metabolite",1,2,0.256,3,0.909,-31.9,"[M + H]+",NA,TRUE,"standard",198.145266,362.11756062027,"[M+H]+","OAD_007_Basal_P.mzML","OAD_007_Basal_P.mzML","RP","MSV000094097",362.116903088,1.81580109735316
"MSV000094097","metabolite",2,2,0.389,3,0.924,-34,"[M + H]+",NA,TRUE,"standard",197.793786,362.117479619232,"[M+H]+","OAD_007_Basal_S.mzML","OAD_007_Basal_S.mzML","RP","MSV000094097",362.116903088,1.59211356067704
"MTBLS11656","parent",2,1,0.859,1,0.92,-55.3,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",545.164,346.1220703125,"[M+H]+","B-112.mzXML","B-112.mzXML","Unknown","a_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling.txt",346.121988468,0.236461429043032
"MTBLS11656","metabolite",2,2,0.183,3,0.924,-31.4,"[M + H]+",NA,TRUE,"standard",500.712,362.116882324219,"[M+H]+","B-119.mzXML","B-119.mzXML","Unknown","a_MTBLS11656_LC-MS_negative_reverse-phase_metabolite_profiling.txt",362.116903088,-0.057339993964911
"MTBLS1866","parent",3,1,0.984,1,0.96,-8.5,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",85.186584,346.121950523926,"[M+H]+","129_p.mzML","129_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.109626303034863
"MTBLS1866","parent",4,1,0.96,1,0.984,-6.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",88.347702,346.121815436672,"[M+H]+","47_p.mzML","47_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.499914289544965
"MTBLS1866","parent",5,1,0.953,1,0.984,-7.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",89.91825,346.121856689453,"[M+H]+","63_p.mzML","63_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.380728619859154
"MTBLS1866","parent",8,1,0.751,1,0.984,-8.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",89.897592,346.122252229338,"[M+H]+","DA21_p.mzML","DA21_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,0.762047332503839
"MTBLS1866","parent",9,1,0.77,1,0.984,-10,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",89.746206,346.121887207031,"[M+H]+","DA4_p.mzML","DA4_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.292558613248509
"MTBLS1866","parent",10,1,0.697,1,0.976,-11.7,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",97.263972,346.122100830078,"[M+H]+","DA5_p.mzML","DA5_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,0.324631435653677
"MTBLS1866","parent",11,1,0.786,1,0.992,-6.2,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",97.281816,346.121903806451,"[M+H]+","DA7_p.mzML","DA7_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.244600319630549
"MTBLS1866","parent",12,1,0.847,1,0.976,-15.4,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",88.070826,346.121917724609,"[M+H]+","DA8_p.mzML","DA8_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.204388606802093
"MTBLS1866","parent",13,1,0.805,1,0.96,-21.1,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",86.689518,346.121948242188,"[M+H]+","DA9_p.mzML","DA9_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.116218597235318
"MTBLS1866","parent",15,1,0.925,1,0.984,-7.8,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",87.41568,346.122009277344,"[M+H]+","RIA2_p.mzML","RIA2_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,0.0601214158217423
"MTBLS1866","parent",21,1,0.877,1,0.976,-7.6,"[M + H]+","6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-1,3-benzodiazole",TRUE,"strict",85.107666,346.121842744095,"[M+H]+","DA44_p.mzML","DA44_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",346.121988468,-0.421018917786444
"MTBLS1866","metabolite",2,1,0.921,3,0.89,-34.4,"[M + H]+",NA,TRUE,"standard",84.965712,362.116705308058,"[M+H]+","129_p.mzML","129_p.mzML","RP","a_MTBLS1866_LC-MS_positive_reverse-phase_metabolite_profiling.txt",362.116903088,-0.54617705039675
